DistrictId,WardId,StreetId,Size,Type,FurnishingSell,Urgent,Price
9,104,921,100.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,8900000000.0
5,51,428,62.8,Mặt bằng kinh doanh,,0,22000000000.0
18,237,2254,75.2,Mặt bằng kinh doanh,,0,175000000.0
18,239,2277,73.0,Mặt bằng kinh doanh,,1,10780000000.0
18,235,2220,77.0,Mặt bằng kinh doanh,,1,15600000000.0
9,105,926,90.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,10800000000.0
12,153,1349,58.8,Shophouse,Bàn giao thô,0,8199999999.999999
15,193,1862,100.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,190000000.0
19,240,2304,78.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,250000000.0
2,13,150,119.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,80000000.0
14,169,1618,82.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,6050000000.0
10,120,1067,40.0,Mặt bằng kinh doanh,,0,5559000000.0
10,122,1081,30.0,Mặt bằng kinh doanh,,0,7590000000.0
19,250,2481,150.0,Mặt bằng kinh doanh,,0,23000000.0
3,24,275,72.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,65000000.0
15,182,1794,40.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,120000000.0
11,141,1218,70.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,220000000.0
13,163,1506,24.0,Mặt bằng kinh doanh,,0,1599000000.0
13,162,1492,70.0,Mặt bằng kinh doanh,,1,8700000000.0
23,303,2715,200.0,Mặt bằng kinh doanh,,0,1000000000.0
14,167,1559,108.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,200000000.0
2,18,222,84.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,750000000.0
23,297,2673,40.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,35000000.0
18,225,2123,105.0,Mặt bằng kinh doanh,,0,11500000000.0
10,116,1037,50.0,Mặt bằng kinh doanh,,0,16000000000.0
3,20,292,110.0,Mặt bằng kinh doanh,,1,40000000000.0
13,162,1484,80.0,Mặt bằng kinh doanh,,0,6700000000.0
1,5,47,30.0,Mặt bằng kinh doanh,,0,4800000000.0
12,145,1255,208.0,Mặt bằng kinh doanh,,0,13000000000.0
20,265,2559,112.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,5800000000.0
1,7,75,120.0,Mặt bằng kinh doanh,,0,380000000.0
12,151,1314,240.0,Mặt bằng kinh doanh,,0,30000000.0
12,148,1278,60.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,80000000.0
20,265,2562,142.0,Mặt bằng kinh doanh,,0,5500000000.0
2,17,189,54.0,Mặt bằng kinh doanh,,1,13500000000.0
3,20,294,95.0,Mặt bằng kinh doanh,,0,26000000000.0
6,68,541,160.0,Shophouse,,0,14000000000.0
12,148,1289,80.0,Mặt bằng kinh doanh,,0,5500000000.0
10,124,1102,123.2,Mặt bằng kinh doanh,,0,31000000000.0
14,166,1546,250.0,Mặt bằng kinh doanh,,0,15900000000.0
17,213,2033,99.0,Mặt bằng kinh doanh,,1,26700000000.0
3,25,284,102.0,Mặt bằng kinh doanh,,0,34500000000.0
8,88,814,151.0,Shophouse,Hoàn thiện cơ bản,0,5180000000.0
12,152,1321,180.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,50000000.0
14,171,1652,420.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,600000000.0
